Tree number,Date,Collected by ,Degrees,Minutes,Seconds,Coordinates (North) Degrees,Degrees,Minutes,Seconds,Coordinates (West) Degrees,Species,Scientific Name,DBH (cm),Notes ,DBH of second stem (cm),Distatance away from tree (m),Clinometer Reading (top of tree),Clinometer Reading (bottom of tree),Tree hight (meters),Tree Condition,Tree exposure to sunlight,Other notes,Phtographed
21,4/2/16,"Jaysen, Adam, Tim, Melissa",39,25,58,39.43277778,77,48,12.3,77.80341667,Crab Apple,Malus hopa,32.7,,,10,19,-8,4.84868448,Excellent,Full,N/A,X
22,4/2/16,"Jaysen, Adam, Tim, Melissa",39,25,57.4,39.43261111,77,48,12.1,77.80336111,Pecan,Carya illinoinensis,78,,,30,30,5,14.69584817,Good,Full,Overlooking coner of a road and a poweline. Protential safety hazarder although Tree is Healthy. Some branches calling off,X
23,4/2/16,"Jaysen, Adam, Tim, Melissa",39,25,57.1,39.43252778,77,48,11.3,77.80313889,Black Maple,Acer nigrum,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,"Stump, still alive. New growth",X
24,4/2/16,"Jaysen, Adam, Tim, Melissa",39,25,57.6,39.43266667,77,48,11.7,77.80325,Unknown Stump,N/A,N/A,,,,,,N/A,N/A,N/A,"Stump, necxt to no parking sign",X
25,2/27/16,"Jaysen, Adam, Tim, Melissa",39,25,51,39.43083333,77,48,20,77.80555556,Norway Spruce,Picea abies,30.8,,,23,24,-1,10.64172626,Fair,Partial,droopy Branches,X
26,2/27/16,"Jaysen, Adam, Tim, Melissa",39.43139,0,0,39.43139,77.80502,0,0,77.80502,Sugar Maple,Acer saccharum,80,,,25,31,-8,18.53503634,Fair,Partial,cabling system in place on branch over top of parkinglot,X
27,2/27/16,"Jaysen, Adam, Tim, Melissa",39,25,52,39.43111111,77,48,19,77.80527778,Red Oak,Quercus rubra,64,,,25,35,0,17.50518846,Excellent,Full,right next to Reynolds and can provide shade,X
28,2/27/16,"Jaysen, Adam, Tim, Melissa",39,25,52,39.43111111,77,48,20,77.80555556,Sugar Maple,Acer saccharum,17.6,,,20,22,-4,9.479060756,Excellent,Full,young,X
29,2/27/16,"Jaysen, Adam, Tim, Melissa",39,26,5,39.43472222,77,48,32,77.80888889,Cherry,Prunus avium,41,,,25,16,-4,8.916804943,Excellent,Full,N/A,X
30,2/27/16,"Jaysen, Adam, Tim, Melissa",39,25,52,39.43111111,77,48,19,77.80527778,Dogwood,Cornus,18.2,,,15,13,-5,4.77535282,Fair,Full,One dead branch,X
31,2/27/16,"Jaysen, Adam, Tim, Melissa",39,25,55,39.43194444,77,48,18,77.805,Crab Apple,Malus hopa,11.6,,,15,15,-5,5.331567839,Fair,Partial,right next to Knutti,X
32,2/27/16,"Jaysen, Adam, Tim, Melissa",39,25,56,39.43222222,77,48,17,77.80472222,Unknown Stump,N/A,N/A,,,,,,N/A,N/A,N/A,stump,X
33,2/27/16,"Jaysen, Adam, Tim, Melissa",39,25,56,39.43222222,77,48,17,77.80472222,Unknown Stump,N/A,N/A,,,,,,N/A,N/A,N/A,stump,X
34,2/27/16,"Jaysen, Adam, Tim, Melissa",39,25,54,39.43166667,77,48,14,77.80388889,Norway Spruce,Picea abies,41.1,,,35,31,2,19.80789473,Fair,Partial,could provide shade,X
35,2/27/16,"Jaysen, Adam, Tim, Melissa",39,25,52,39.43111111,77,48,18,77.805,Pecan,Carya illinoinensis,81.5,,,35,45,1,34.38907273,Good,Full,near a building,X
36,2/27/16,"Jaysen, Adam, Tim, Melissa",39,25,52,39.43111111,77,48,18,77.805,Japanese Pagoda,Styphnolobium japonicum,15.5,,15.9,20,26,-2,10.45306716,Good,Partial,N/A,X
37,2/27/16,"Jaysen, Adam, Tim, Melissa",39,25,52,39.43111111,77,48,18,77.805,Japanese Snowbell,Styrax japonicus,12,,13.2,20,26,-2,10.45306716,Good,Partial,gigantic rock by roots,X
38,4/2/16,Ella B. Ben L. Jasmin T.,39,25.896,0,39.4316,77,48.257,0,77.80428333,Weeping Crab Apple,Cedrus atlantica ‘Glauca Pendula’,5,,,10,12,-15,4.805057541,Good,Partial,N/A,X
39,4/2/16,Ella B. Ben L. Jasmin T.,39,25.894,0,39.43156667,77,48.243,0,77.80405,Japanese Pagoda,Styphnolobium japonicum,10.1,Taken 40 cm from base (branching Point),,10,12,-9,3.70941002,Excellent,Full,Branching at base.,X
40,4/2/16,Ella B. Ben L. Jasmin T.,39,25.89,0,39.4315,77,48.227,0,77.80378333,Ash ,Fraxinus,7,,,10,32,-10,8.011963326,Excellent,Full,N/A,X
41,4/2/16,Ella B. Ben L. Jasmin T.,39,25.926,0,39.4321,77,48.229,0,77.80381667,Zelkova ,Carpinifolia,32.5,,,20,44,1,18.9646742,Good,Full,Non-native (elm Family),X
42,4/2/16,Ella B. Ben L. Jasmin T.,39,25.92,0,39.432,77,48.218,0,77.80363333,Crab Apple,Malus hopa,15,,,10,11,-7,3.1716487,Excellent,Full,Could use some pruning,X
43,4/2/16,Ella B. Ben L. Jasmin T.,39,25.92,0,39.432,77,48.214,0,77.80356667,Sugar Maple,Acer saccharum,14.5,,,10,55,-5,15.1563667,Dying,Full,"Some scarring; branching halfway  up base, shelf fungi, crown is dead",X
44,4/2/16,Ella B. Ben L. Jasmin T.,39,25.939,0,39.43231667,77,48.194,0,77.80323333,Purple Leaf Plum ,Acer saccharum,65,,,40,46,-4,44.21828503,Good,Full,Branching by electrical cables,X
45,4/2/16,Ella B. Ben L. Jasmin T.,39,25.939,0,39.43231667,77,48.2,0,77.80333333,Crab Apple,Malus hopa,12.5,Taken 72 cm from base (branching Point),,10,24,-11,6.396089944,Fair,Full,"Bark is flaking, branches growing straight up and straight down",X
46,4/2/16,Ella B. Ben L. Jasmin T.,39,25.958,0,39.43263333,77,48.192,0,77.8032,Sugar Maple,Acer saccharum,13.9,,,15,40,-12,15.77484289,Fair,Full,Some branching are dead,X
47,4/2/16,Ella B. Ben L. Jasmin T.,39,25.959,0,39.43265,77,48.193,0,77.80321667,Crab Apple,Malus hopa,10.3,,,10,19,-13,5.751958044,Good,Full,Some dead branches,X
48,4/2/16,Ella B. Ben L. Jasmin T.,39,25.968,0,39.4328,77,48.231,0,77.80385,Ash ,Fraxinus,19.5,,,12,28,-3,7.009406531,Good,Partial,Right behind Library,X
49,4/2/16,Ella B. Ben L. Jasmin T.,39,25.972,0,39.43286667,77,48.228,0,77.8038,Ash ,Fraxinus,20.6,,,12,33,-8,9.479381135,Good,Partial,N/A,X
50,2/27/16,Group 3,39,25,50.901,39.43080583,77,48,19.159,77.80532194,Sugar Maple,Acer saccharum,86,,,30,35,-7,24.68976297,Good,Full,"wiring system, divison in bark, large branch cut off, vine system (European Ivay) that ideally should be Removed",X
51,2/27/16,Group 3,39.43105,0,0,39.43105,77.80504,0,0,77.80504,Sugar Maple,Acer saccharum,87,,,32,31,-7,23.15664576,Fair,Full,"leaning; wiring syste,; multple splits; European Ivory (Should ideally be removed)",X
52,2/27/16,Group 3,39.43105,0,0,39.43105,77.8051,0,0,77.8051,Sugar Maple,Acer saccharum,72,,,30,30,-6,20.47363513,Good,Full,N/A,X
53,2/27/16,Group 3,39,25,53.669,39.43157472,77,48,18.192,77.80505333,Bradford Pear,Pyrus calleryana,28.4,,,33,20,-3,13.74047445,Excellent,Partial,Ivasive species; branches can be very brittle,X
54,2/27/16,Group 3,39.43148,0,0,39.43148,77.80476,0,0,77.80476,Crab Apple,Malus hopa,16,,,30,8,-4,6.314029399,Poor,Partial,Bark is getting Weary; suckers; old tree,X
55,2/27/16,Group 3,39,25,52.736,39.43131556,77,48,18.295,77.80508194,Dogwood,Cornus,12.5,,14,30,6,-4,5.250931416,Fair,Full,tree split into 2 below DBH; have open wounds that are healing over; decay within; all branches have buds with in canopy,X
56,2/27/16,Group 3,39,25,55.358,39.43204389,77,48,17.073,77.8047425,Crab Apple,Malus hopa,11.2,,,10,11,-7,3.1716487,Good,Full,N/A,X
57,2/27/16,Group 3,39.43139,0,0,39.43139,77.80476,0,0,77.80476,Sugar Maple,Acer saccharum,68,,,28,33,0,18.18341261,Good,Full,Some wear on bark,X
58,2/27/16,Group 3,39,25,53.88,39.43163333,77,48,17.549,77.80487472,Sugar Maple,Acer saccharum,27.4,,,21,25,-1,10.15901718,Excellent,Full,N/A,X
59,4/2/16,"Alyssa, et. Al",39,25,54.128,39.43170222,77,48,14.617,77.80406028,Sugar Maple,Acer saccharum,57,,,30,39,1,23.76986905,Fair,Full,Bark is starting to fall apart,X
60,4/2/16,"Alyssa, et. Al",39,25,54.134,39.43170389,77,48,15.116,77.80419889,Serviceberry,Amelanchier,4,,,5,32.5,-9,3.977273506,Excellent,Partial,N/A,X
61,4/2/16,"Alyssa, et. Al",39,25,51.411,39.4309475,77,48,14.653,77.80407028,Norway Spruce,Picea abies,35,,,30,36,-5,24.42093575,Fair,Shaded,Missing Branches,X
62,4/2/16,"Alyssa, et. Al",39,25,51.678,39.43102167,77,48,16.63,77.80461944,Silver Maple,Acer saccharinum,146.6,,,20,54,-2,28.2260538,Good,Full,Branch Running into Norway Spruce beside it,X
63,4/2/16,"Alyssa, et. Al",39,25,52.394,39.43122056,77,48,16.204,77.80450111,Norway Spruce,Picea abies,53.5,,,20,35,-3,15.05230635,Fair,Shaded,Branches towards the bottom are dead that can be cut off,X
64,4/2/16,"Alyssa, et. Al",39,25,50.867,39.43079639,77,48,18.835,77.80523194,Norway Spruce,Picea abies,58,,,20,32,-4,13.89592328,Fair,Shaded,"Dead brances, cut down branches",X
65,4/2/16,"Alyssa, et. Al",39,25,56.265,39.43229583,77,48,13.412,77.80372556,Zelkova ,Carpinifolia,28,,,20,41,0,17.38573476,Good,Full,"Some bark is falling off, but overall good",X
66,4/2/16,"Alyssa, et. Al",39,25,58.199,39.43283306,77,48,13.527,77.8037575,Bradford Pear,Pyrus calleryana,33.5,,,20,40,-10,20.30853224,Fair,Partial/Full,"Broken branches, one branch is cracked MAY break ",X
67,4/2/16,"Alyssa, et. Al",39,25,53.8,39.43161111,77,48,14.01,77.80389167,Bradford Pear,Pyrus calleryana,26,,,20,36,-10,18.05739017,Good,Partial,N/A,X
68,4/2/16,"Alyssa, et. Al",39,25,56.831,39.43245306,77,48,14.149,77.80393028,Crab Apple,Malus hopa,34.5,,,12,28,-4,7.219634923,Good,Partial,Dead tree limb that can be cut off,X
69,4/2/16,"Alyssa, et. Al",39,25,57.379,39.43260528,77,48,13.979,77.80388306,Bradford Pear,Pyrus calleryana,39.5,,,20,29,-1,11.43528233,Good,Full,"Scar from broken branch, cut off branches",X
70,4/2/16,"Alyssa, et. Al",39,25,58.326,39.43286833,77,48,13.3366,77.80370461,Bradford Pear,Pyrus calleryana,21,,,20,35,-3,15.05230635,Good,Partial,Pointed Broken Branch,X
71,4/2/16,"Alyssa, et. Al",39,25,56.534,39.43237056,77,48,14.278,77.80396611,Crab Apple,Malus Hopa,23.4,,,20,27,-4,11.58904523,Good,Partial,Right beside a building,X
72,4/2/16,"Jaysen, Adam, Tim, Melissa",39,25,53,39.43138889,77,48,16,77.80444444,Norway Spruce,Picea abies,26,,,20,23,4,7.090960085,Good,Partial,"Singe marks along side of tree, tagged with orange Ribbon",X
73,4/23/16,"Ben, Dr. Lesser, Ella",39,26.506,0,39.44176667,77,48.785,0,77.81308333,River Birch,Betula nigra,2.2,,,10,9,-4,2.283112523,Excellent,Full,Part of 2016 Communitree Arbor Day,X
74,4/23/16,"Ben, Dr. Lesser, Ella",39,26.508,0,39.4418,77,48.788,0,77.81313333,Eastern Redbud,Cercis canadensis,1,,,,,,1.9,Excellent,Full,Part of 2016 Communitree Arbor Day,X
75,4/23/16,"Ben, Dr. Lesser, Ella",39,26.507,0,39.44178333,77,48.793,0,77.81321667,Red Maple,Acer rubrum,2,,,,,,2.75,Excellent,Full,Part of 2016 Communitree Arbor Day,X
76,4/23/16,"Ben, Dr. Lesser, Ella",39,26.506,0,39.44176667,77,48.796,0,77.81326667,Crape Myrtle (Natchez),Lagerstroemia,1.5,Multiple Stems,,,,,2.7,Excellent,Full,Part of 2016 Communitree Arbor Day,X
77,4/23/16,"Ben, Dr. Lesser, Ella",39,26.506,0,39.44176667,77,48.799,0,77.81331667,Willow Oak,Quercus phellos,3,,,10,3,-6,1.575120145,Excellent,Full,Part of 2016 Communitree Arbor Day,X
78,4/23/16,"Ben, Dr. Lesser, Ella",39,26.509,0,39.44181667,77,48.803,0,77.81338333,Serviceberry,Amelanchier,1.3,,,,,,2.35,Excellent,Full,Part of 2016 Communitree Arbor Day,X
79,4/23/16,"Ben, Dr. Lesser, Ella",39,26.508,0,39.4418,77,48.805,0,77.81341667,Red Maple,Acer rubrum,2.3,,,,,,3.37,Excellent,Full,Part of 2016 Communitree Arbor Day,X
80,4/23/16,"Ben, Dr. Lesser, Ella",39,26.509,0,39.44181667,77,48.808,0,77.81346667,Eastern Redbud,Cercis canadensis,1.3,,,,,,2.1,Excellent,Full,Part of 2016 Communitree Arbor Day,X
81,4/23/16,"Ben, Dr. Lesser, Ella",39,26.508,0,39.4418,77,48.811,0,77.81351667,River Birch,Betula nigra,2.5,,,10,11,-9,3.527647495,Excellent,Full,Part of 2016 Communitree Arbor Day,X
82,4/23/16,"Ben, Dr. Lesser, Ella",39,26.509,0,39.44181667,77,48.816,0,77.8136,Crape Myrtle (Pink),Lagerstroemia,1.3,Multiple Stems,,,,,2.3,Excellent,Full,Part of 2016 Communitree Arbor Day,X
83,4/23/16,"Ben, Dr. Lesser, Ella",39,26.509,0,39.44181667,77,48.818,0,77.81363333,Black Oak,Quercus velutina,1.1,,,,,,1.5,Excellent,Full,Part of 2016 Communitree Arbor Day,X
84,4/23/16,"Ben, Dr. Lesser, Ella",39,26.509,0,39.44181667,77,48.821,0,77.81368333,Eastern Redbud,Cercis canadensis,1.3,,,,,,2.5,Excellent,Full,Part of 2016 Communitree Arbor Day,X
85,4/23/16,"Ben, Dr. Lesser, Ella",39,26.51,0,39.44183333,77,48.826,0,77.81376667,Black Oak,Quercus velutina,1.3,,,,,,1.47,Excellent,Full,Part of 2016 Communitree Arbor Day,X
86,4/23/16,"Ben, Dr. Lesser, Ella",39,26.511,0,39.44185,77,48.829,0,77.81381667,Serviceberry,Amelanchier,1.2,,,,,,2.44,Excellent,Full,Part of 2016 Communitree Arbor Day,X
87,4/23/16,"Ben, Dr. Lesser, Ella",39,26.512,0,39.44186667,77,48.831,0,77.81385,Willow Oak,Quercus phellos,3.2,,,,,,2.48,Excellent,Full,Part of 2016 Communitree Arbor Day,X
88,4/23/16,"Ben, Dr. Lesser, Ella",39,26.513,0,39.44188333,77,48.837,0,77.81395,Eastern Redbud,Cercis canadensis,1.1,,,,,,1.4,Excellent,Full,Part of 2016 Communitree Arbor Day,X
89,4/23/16,"Ben, Ella, Demian, Rodney, Ferris",39.43244,0,0,39.43244,77.8042,0,0,77.8042,Cherry,Prunus avium,15.7,Splits 0.8 meters up,,15,23,0,6.367122243,Good,Full,Extensive Pruning,X
90,4/23/16,"Ben, Ella, Demian, Rodney, Ferris",39.43246,0,0,39.43246,77.80458,0,0,77.80458,Dogwood,Cornus,3.2,Branches .35 meters up,,10,6,-4,1.750310472,Good,Full,Some broken branches,X
91,4/23/16,"Ben, Ella, Demian, Rodney, Ferris",39,25,57.4,39.43261111,77,48,16.7,77.80463889,Mulberry,Morus alba,7.3,,,10,6,-3,1.575120145,Good,Full,"Planted in memory of Mrs. Carl Bell, Pest hole/ split neat base",X
92,4/23/16,"Ben, Ella, Demian, Rodney, Ferris",39,25,55.6,39.43211111,77,48,17.8,77.80494444,Sugar Maple,Acer saccharum,34.8,,,20,25,-1,9.675254462,Excellent,Full,a squirrel lives here,X
93,4/23/16,"Ben, Ella, Demian, Rodney, Ferris",39,25,54.9,39.43191667,77,48,16.6,77.80461111,Black Walnut,Juglans nigra,50.5,,,20,38,-5,17.3754858,Good,Full,Pruning,X
94,4/23/16,"Ben, Ella, Demian, Rodney, Ferris",39,25,58.5,39.43291667,77,48,16.3,77.80452778,Dogwood,Cornus,28,split stem 0.41 m up,,15,30,-1,8.922080012,Good,Full,Moss growing on it,X
95,4/23/16,"Ben, Ella, Demian, Rodney, Ferris",39,25,59.4,39.43316667,77,48,16.4,77.80455556,Dogwood,Cornus,13.2,,,10,14.5,-8.5,4.080685857,Fair,Full,"Pruning, scars, hole near base",X
96,4/23/16,"Ben, Ella, Demian, Rodney, Ferris",39,25,59.1,39.43308333,77,48,16.3,77.80452778,Green Ash,Fraxinus pennsylvanica,25.6,,,15,32,1,9.111214305,Good,Full,"healed over scars, plugged holes",X
97,4/23/16,"Ben, Ella, Demian, Rodney, Ferris",39,25,59.3,39.43313889,77,48,16.1,77.80447222,Green Ash,Fraxinus pennsylvanica,24.6,,,12,26.5,-7,7.456394027,Good,Full,"Plugged Holes at base, tree crown lacks buds unlike the rest of branches",X
98,4/23/16,"Ben, Ella, Demian, Rodney, Ferris",39,26,0.1,39.43336111,77,48,16.2,77.8045,Green Ash,Fraxinus pennsylvanica,17.5,,,18,18,-4,7.107237147,Fair,Full,"Soft rot, pluged, insect investation",X
99,4/23/16,"Ben, Ella, Demian, Rodney, Ferris",39,26,0,39.43333333,77,48,15.9,77.80441667,Green Ash,Fraxinus pennsylvanica,15,,,15,19.5,-2.5,5.966692732,Fair,Full,"Pluged at base, insect investation, some scaring",X
100,4/2/16,"Jaysen, Adam, Tim, Melissa",39,25,57.9,39.43275,77,48,11.4,77.80316667,Cherry,Prunus avium,47,,,20,11,7,1.431914965,Excellent,Full,N/A,X
101,4/2/16,"Jaysen, Adam, Tim, Melissa",39,25,52.8,39.43133333,77,48,12.6,77.8035,Crab Apple,Malus hopa,36.9,,,20,12,-5,6.000904504,Good,Full,Deep hole through center of tree,X
102,4/2/16,"Jaysen, Adam, Tim, Melissa",39,25,58.1,39.43280556,77,48,12.5,77.80347222,Crab Apple,Malus hopa,33.8,,,20,9,-6,5.269773512,Excellent,Full,N/A,X
103,4/2/16,"Jaysen, Adam, Tim, Melissa",,,,,,,,,,,,,,,,,,,,Counted twice please see tree 115,
104,4/2/16,"Jaysen, Adam, Tim, Melissa",39,25,59,39.43305556,77,48,11.7,77.80325,Magnolia,Magnolia grandiflora,15.7,,,12,25,3,4.966798546,Excellent,Full,Two praying mantis nests,X
105,4/2/16,"Jaysen, Adam, Tim, Melissa",39,25,59.9,39.43330556,77,48,13.1,77.80363889,Cherry,Prunus avium,17.6,,,15,13,6,1.886459338,Excellent,Full,N/A,X
106,4/23/16,"Jaysen, Tim, Tanai, Adam, Dr. Lesser, Dr. Plautz, Emily, Tim F. Sncha",39,25.95,0,39.4325,77,48.255,0,77.80425,Sugar Maple,Acer saccharum,20.4,,,20,30,-7,14.0026966,Excellent,Full,N/A,X
107,4/23/16,"Jaysen, Tim, Tanai, Adam, Dr. Lesser, Dr. Plautz, Emily, Tim F. Sncha",39,25.95,0,39.4325,77,48.259,0,77.80431667,Dogwood,Cornus,7.3,,,10,1,-7,1.402396258,Excellent,Full,N/A,X
108,4/23/16,"Jaysen, Tim, Tanai, Adam, Dr. Lesser, Dr. Plautz, Emily, Tim F. Sncha",39,25.954,0,39.43256667,77,48.263,0,77.80438333,Dogwood,Cornus,7.3,,,5,-3,-23,1.860335185,Excellent,Full,N/A,X
109,4/23/16,"Jaysen, Tim, Tanai, Adam, Dr. Lesser, Dr. Plautz, Emily, Tim F. Sncha",39,25.957,0,39.43261667,77,48.267,0,77.80445,Dogwood,Cornus,10.2,,,5,5,-25,2.768981608,Good,Full,Some of the leaves are shriveld or dying,X
110,4/23/16,"Jaysen, Tim, Tanai, Adam, Dr. Lesser, Dr. Plautz, Emily, Tim F. Sncha",39,25.964,0,39.43273333,77,48.272,0,77.80453333,Dogwood,Cornus,32.4,spilt below breast hight,,20,25,-9,12.49384197,Good,Full,Tons of weed coverring base by the library,X
111,4/23/16,"Jaysen, Tim, Tanai, Adam, Dr. Lesser, Dr. Plautz, Emily, Tim F. Sncha",39,25.963,0,39.43271667,77,48.277,0,77.80461667,Eastern Redbud,Cercis canadensis,21.4,,,10,15,-10,4.442761731,Good,Full,Roots that are exposed have been cut; the bark on the trunk of the tree looks loose,X
112,4/23/16,"Jaysen, Tim, Tanai, Adam, Dr. Lesser, Dr. Plautz, Emily, Tim F. Sncha",39,25.96,0,39.43266667,77,48.279,0,77.80465,Eastern Redbud,Cercis canadensis,8.3,,,10,14,-8,3.898688375,Good,Full,Part of the tree looks poorly cut,X
113,4/23/16,"Jaysen, Tim, Tanai, Adam, Dr. Lesser, Dr. Plautz, Emily, Tim F. Sncha",39,25.956,0,39.4326,77,48.28,0,77.80466667,Eastern Redbud,Cercis canadensis,11.3,,,10,8,-5,2.280294982,Excellent,Full,Gentle,X
114,4/23/16,"Jaysen, Tim, Tanai, Adam, Dr. Lesser, Dr. Plautz, Emily, Tim F. Sncha",39,25.943,0,39.43238333,77,48.291,0,77.80485,Magnolia,Magnolia grandiflora,15.4,,,10,34,-5,7.619971804,Excellent,Partial,"Planted in memory of Mr. Parel Saab Biology Professor, right next to Snyder Hall",X
115,4/23/16,"Jaysen, Tim, Tanai, Adam, Dr. Lesser, Dr. Plautz, Emily, Tim F. Sncha",39,25.926,0,39.4321,77,48.284,0,77.80473333,Sugar Maple,Acer saccharum,69,,,20,39,-2,16.89409605,Fair,Full,There's a cable going through the tree; near Snyder Hall; branches overlook the sidewalk and part of the load lot of rot in bottom of stem,X
116,4/23/16,"Jaysen, Tim, Tanai, Adam, Dr. Lesser, Dr. Plautz, Emily, Tim F. Sncha",39,25.927,0,39.43211667,77,48.273,0,77.80455,Cherry,Prunus avium,17,,,15,14,-4,4.788822222,Good,Full,N/A,X
117,4/23/16,"Jaysen, Tim, Tanai, Adam, Dr. Lesser, Dr. Plautz, Emily, Tim F. Sncha",39,25.967,0,39.43278333,77,48.269,0,77.80448333,Crab Apple,Malus hopa,10,,,10,15,-8,4.084900271,Good,Partial,A wound near the base,X
118,4/23/16,"Jaysen, Tim, Tanai, Adam, Dr. Lesser, Dr. Plautz, Emily, Tim F. Sncha",39,25.98,0,39.433,77,48.266,0,77.80443333,Dogwood,Cornus,19,,,10,16,-8,4.272862205,Good,Partial,There is foreign ivy growing on it,X
119,4/23/16,"Jaysen, Tim, Tanai, Adam, Dr. Lesser, Dr. Plautz, Emily, Tim F. Sncha",39,25.98,0,39.433,77,48.265,0,77.80441667,Magnolia,Magnolia grandiflora,33.6,Multiple stems,,15,39,-1,12.40858647,Excellent,Full,by library,X
120,4/23/16,"Jaysen, Tim, Tanai, Adam, Dr. Lesser, Dr. Plautz, Emily, Tim F. Sncha",39,25.986,0,39.4331,77,48.26,0,77.80433333,Dogwood,Cornus,5,,,10,16,-8,4.272862205,Excellent,Partial,N/A,X
121,4/23/16,"Jaysen, Tim, Tanai, Adam, Dr. Lesser, Dr. Plautz, Emily, Tim F. Sncha",39,25.988,0,39.43313333,77,48.257,0,77.80428333,Dogwood,Cornus,1,At 0.75 m up,,,,,1.5,Good,Shaded,Surround by bushes because it is so smaall/short,X
